id_clientes,mes,idade,profissao,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,idade_historico_credito,investimento_mensal,comportamento_pagamento,saldo_final_mes,score_credito,emprestimo_carro,emprestimo_casa,emprestimo_pessoal,emprestimo_credito,emprestimo_estudantil
98321,2,28.0,analista,48000.65,1.0,2.0,1.2,1.0,6.0,4.0,850.43,bom,750.21,Good,0,0,1,1,0
65432,3,33.0,engenheiro,68000.78,3.0,3.0,1.6,2.0,10.0,6.0,1600.76,alto_gasto_pagamento_baixos,3200.45,Good,1,1,0,1,0
76543,1,27.0,professor,58000.32,2.0,3.0,1.4,1.0,7.0,5.0,1350.89,bom,850.67,Poor,0,1,1,1,0
87654,2,31.0,medico,95000.43,4.0,4.0,2.0,3.0,12.0,6.0,2000.98,excelente,4200.76,Good,1,1,0,1,1
98765,3,26.0,estudante,22000.56,1.0,1.0,1.0,0.0,0.0,3.0,280.32,ruim,120.54,Standard,0,0,0,0,0
10987,1,37.0,advogado,115000.76,3.0,4.0,2.2,4.0,13.0,7.0,2250.32,bom,4800.21,Poor,1,1,0,1,0
11223,2,29.0,tecnico,50000.43,2.0,3.0,1.5,1.0,7.0,4.0,1450.67,bom,920.54,Good,0,1,1,1,0
33445,3,30.0,enfermeiro,40000.65,2.0,2.0,1.3,1.0,6.0,3.0,980.21,regular,650.43,Poor,0,0,1,0,0
55667,1,33.0,engenheiro,72000.89,3.0,3.0,1.7,2.0,9.0,5.0,1750.54,alto_gasto_pagamento_baixos,3800.32,Good,1,1,1,1,0
77889,2,36.0,professor,60000.45,2.0,3.0,1.6,2.0,8.0,6.0,1650.98,bom,3100.76,Good,1,1,0,1,0
112233,3,34.0,analista,52000.78,1.0,2.0,1.3,1.0,5.0,4.0,900.65,bom,800.32,Poor,0,0,1,1,0
445566,1,29.0,engenheiro,68000.32,2.0,3.0,1.5,2.0,8.0,5.0,1450.21,regular,1100.43,Good,0,1,1,1,0
778899,2,32.0,medico,100000.43,4.0,4.0,2.2,3.0,11.0,6.0,2200.76,alto_gasto_pagamento_baixos,4200.89,Good,1,1,0,1,1
1122334,3,28.0,professor,55000.54,2.0,3.0,1.6,2.0,9.0,6.0,1600.32,bom,900.65,Poor,1,1,0,1,0
5566778,1,30.0,estudante,25000.21,1.0,1.0,1.0,0.0,0.0,3.0,310.98,ruim,180.43,Standard,0,0,0,0,0
8899001,2,35.0,advogado,120000.65,3.0,4.0,2.1,4.0,14.0,7.0,2100.32,bom,4900.54,Standard,1,1,0,1,0
2233445,3,26.0,tecnico,48000.43,2.0,2.0,1.4,1.0,6.0,4.0,1250.21,bom,850.76,Good,0,1,1,1,0
6677889,1,38.0,enfermeiro,40000.54,2.0,2.0,1.3,1.0,5.0,3.0,980.76,regular,700.43,Standard,0,0,1,0,0
9900112,2,31.0,engenheiro,75000.78,3.0,3.0,1.7,2.0,10.0,6.0,1800.32,alto_gasto_pagamento_baixos,3500.65,Good,1,1,1,1,0
3344556,3,34.0,professor,58000.32,2.0,3.0,1.5,2.0,7.0,5.0,1350.98,bom,920.21,Poor,0,1,1,1,0
6677880,1,29.0,analista,50000.43,1.0,2.0,1.2,1.0,6.0,4.0,850.65,bom,750.32,Good,0,0,1,1,0
99001123,2,33.0,engenheiro,68000.76,3.0,3.0,1.6,2.0,10.0,6.0,1600.21,alto_gasto_pagamento_baixos,3200.45,Good,1,1,0,1,0
33445564,3,27.0,professor,58000.43,2.0,3.0,1.4,1.0,7.0,5.0,1350.76,bom,850.98,Poor,0,1,1,1,0
66778895,1,31.0,medico,95000.54,4.0,4.0,2.0,3.0,12.0,6.0,2000.32,excelente,4200.65,Good,1,1,0,1,1
99001126,2,26.0,estudante,22000.65,1.0,1.0,1.0,0.0,0.0,3.0,280.43,ruim,120.21,Standard,0,0,0,0,0
33445567,3,37.0,advogado,115000.32,3.0,4.0,2.2,4.0,13.0,7.0,2250.65,bom,4800.76,Poor,1,1,0,1,0
66778898,1,29.0,tecnico,50000.54,2.0,3.0,1.5,1.0,7.0,4.0,1450.98,bom,920.32,Good,0,1,1,1,0
99001129,2,30.0,enfermeiro,40000.76,2.0,2.0,1.3,1.0,6.0,3.0,980.32,regular,650.98,Poor,0,0,1,0,0
33445570,3,33.0,engenheiro,72000.32,3.0,3.0,1.7,2.0,9.0,5.0,1750.76,alto_gasto_pagamento_baixos,3800.21,Good,1,1,1,1,0
66778901,1,36.0,professor,60000.54,2.0,3.0,1.6,2.0,8.0,6.0,1650.32,bom,3100.98,Good,1,1,0,1,0
11223345,2,28.0,analista,52000.78,1.0,2.0,1.3,1.0,5.0,4.0,900.65,bom,800.32,Poor,0,0,1,1,0
44556678,1,29.0,engenheiro,68000.32,2.0,3.0,1.5,2.0,8.0,5.0,1450.21,regular,1100.43,Good,0,1,1,1,0
